source,target,generes
Mala Rodríguez,Bomba Estéreo,"['cumbia', 'latin alternative', 'latin rock', 'pop electronico', 'tropical alternativo']"
Mala Rodríguez,Morodo,"['reggae en espanol', 'spanish hip hop', 'spanish reggae']"
Mala Rodríguez,Chambao,"['flamenco', 'pop flamenco', 'rumba', 'spanish pop']"
Mala Rodríguez,El Chojin,"['rap conciencia', 'spanish hip hop']"
Rosalia,NATTI NATASHA,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']"
NATTI NATASHA,Becky G,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']"
NATTI NATASHA,Lele Pons,"['latin pop', 'latin viral pop', 'viral pop']"
NATTI NATASHA,Sofía Reyes,"['latin pop', 'latin viral pop', 'mexican pop', 'reggaeton']"
NATTI NATASHA,Nacho,"['latin pop', 'pop venezolano', 'reggaeton', 'trap latino', 'urbano latino']"
NATTI NATASHA,Mau y Ricky,"['latin pop', 'pop venezolano', 'reggaeton', 'urbano latino']"
NATTI NATASHA,Joey Montana,"['latin pop', 'reggaeton', 'urbano latino']"
NATTI NATASHA,Greeicy,"['colombian pop', 'latin pop', 'r&b en espanol', 'reggaeton', 'reggaeton colombiano', 'urbano latino']"
NATTI NATASHA,CNCO,"['boy band', 'latin pop', 'reggaeton', 'urbano latino']"
NATTI NATASHA,Wisin,"['reggaeton', 'urbano latino']"
NATTI NATASHA,Chyno Miranda,"['latin pop', 'reggaeton', 'urbano latino']"
NATTI NATASHA,Piso 21,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
NATTI NATASHA,Chino & Nacho,"['electro latino', 'latin hip hop', 'latin pop', 'urbano latino']"
NATTI NATASHA,Danna Paola,"['latin pop', 'latin viral pop', 'mexican pop']"
NATTI NATASHA,Yandel,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
NATTI NATASHA,Leslie Grace,"['bachata', 'latin viral pop']"
NATTI NATASHA,Manuel Turizo,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
NATTI NATASHA,Justin Quiles,"['reggaeton', 'trap latino', 'urbano latino']"
NATTI NATASHA,Cazzu,"['argentine hip hop', 'rap latina', 'reggaeton', 'trap argentino', 'trap latino', 'urbano latino']"
NATTI NATASHA,Farruko,"['reggaeton', 'trap latino', 'urbano latino']"
NATTI NATASHA,Zion & Lennox,"['reggaeton', 'urbano latino']"
Rosalia,Rauw Alejandro,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Rauw Alejandro,Myke Towers,"['reggaeton', 'trap latino', 'urbano latino']"
Rauw Alejandro,Jhayco,"['reggaeton', 'trap latino', 'urbano latino']"
Rauw Alejandro,Mora,"['trap latino', 'urbano latino']"
Rauw Alejandro,Sech,"['panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']"
Rauw Alejandro,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Rauw Alejandro,Lunay,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
Rauw Alejandro,Dalex,"['r&b en espanol', 'reggaeton', 'trap latino', 'urbano latino']"
Rauw Alejandro,Tainy,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']"
Rauw Alejandro,Jay Wheeler,"['reggaeton', 'trap latino', 'urbano latino']"
Rauw Alejandro,Justin Quiles,"['reggaeton', 'trap latino', 'urbano latino']"
Rauw Alejandro,Arcángel,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Rauw Alejandro,Lenny Tavárez,"['reggaeton', 'trap argentino', 'trap latino', 'urbano latino']"
Rauw Alejandro,Quevedo,"['rap canario', 'trap latino', 'urbano latino']"
Rauw Alejandro,Eladio Carrion,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']"
Rauw Alejandro,Alex Rose,"['reggaeton', 'trap latino', 'urbano latino']"
Rauw Alejandro,Anuel AA,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
Rauw Alejandro,Bryant Myers,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
Rauw Alejandro,Manuel Turizo,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Rauw Alejandro,Ozuna,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Rauw Alejandro,Young Miko,"['trap latino', 'urbano latino']"
Rosalia,Tokischa,"['rap latina', 'trap dominicano']"
Tokischa,Yailin la Mas Viral,"['dembow', 'dembow dominicano']"
Tokischa,Bad Gyal,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']"
Tokischa,Villano Antillano,"['rap boricua', 'urbano latino']"
Tokischa,La Perversa,"['dembow dominicano', 'trap dominicano']"
Tokischa,Young Miko,"['trap latino', 'urbano latino']"
Tokischa,La Insuperable,"['dembow', 'rap dominicano', 'rap latina']"
Tokischa,Yomel El Meloso,"['dembow', 'dembow dominicano', 'rap dominicano']"
Tokischa,Bellakath,"['reggaeton mexicano', 'urbano latino']"
Tokischa,Haraca Kiko,['dembow dominicano']
Tokischa,El Alfa,"['dembow', 'rap dominicano', 'trap latino', 'urbano latino']"
Tokischa,Yeri Mua,['urbano mexicano']
Tokischa,El Cherry Scom,['dembow']
Tokischa,Treintisiete,['dembow dominicano']
Tokischa,Rochy RD,"['dembow', 'dembow dominicano', 'rap dominicano', 'trap latino']"
Tokischa,Bulin 47,"['dembow', 'rap dominicano']"
Tokischa,Farina,"['colombian pop', 'rap latina', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Tokischa,Angel Dior,['dembow dominicano']
Tokischa,Kiko el Crazy,['dembow dominicano']
Tokischa,Arca,"['ai', 'art pop', 'deconstructed club', 'escape room', 'experimental pop', 'fluxwork']"
Tokischa,Dani Flow,['reggaeton mexicano']
Rosalia,Arca,"['ai', 'art pop', 'deconstructed club', 'escape room', 'experimental pop', 'fluxwork']"
Arca,Safety Trance,['latin tek']
Arca,SOPHIE,"['art pop', 'bubblegum bass', 'deconstructed club', 'escape room', 'hyperpop', 'proto-hyperpop', 'transpop']"
Arca,Sega Bodega,"['deconstructed club', 'escape room', 'hyperpop', 'proto-hyperpop']"
Arca,Eartheater,"['art pop', 'electra', 'escape room', 'experimental pop', 'spectra']"
Arca,Shygirl,"['alternative r&b', 'art pop', 'electra', 'escape room', 'grimewave', 'hyperpop']"
Arca,Isabella Lovestory,['latin tek']
Arca,COUCOU CHLOE,"['deconstructed club', 'electra', 'escape room', 'fluxwork', 'grimewave', 'hyperpop', 'proto-hyperpop', 'spectra']"
Arca,A. G. Cook,"['bubblegum bass', 'escape room', 'hyperpop', 'proto-hyperpop']"
Arca,Yves Tumor,"['art pop', 'escape room', 'experimental pop', 'experimental r&b', 'hypnagogic pop']"
Arca,Doon Kanda,"['deconstructed club', 'grimewave']"
Arca,Caroline Polachek,"['art pop', 'escape room', 'indie pop', 'indietronica']"
Arca,FKA twigs,"['afrofuturism', 'alternative r&b', 'art pop', 'escape room', 'experimental r&b', 'trip hop']"
Arca,Oneohtrix Point Never,"['ambient', 'art pop', 'drone', 'experimental pop', 'fluxwork', 'hauntology', 'hypnagogic pop', 'intelligent dance music', 'wonky']"
Arca,Namasenda,"['escape room', 'hyperpop', 'pink noise', 'proto-hyperpop']"
Arca,Amnesia Scanner,"['deconstructed club', 'finnish electronic', 'fluxwork', 'grimewave']"
Arca,Sevdaliza,"['alternative r&b', 'art pop', 'escape room', 'persian electronic']"
Arca,yeule,"['ambient pop', 'hyper-rock']"
Arca,Dorian Electra,"['escape room', 'hyper-rock', 'hyperpop', 'pink noise', 'proto-hyperpop']"
Arca,COBRAH,"['escape room', 'pink noise']"
