N.º	País	Intérprete(s)	Canción	Lugar	Puntos	#	Pts.	Intérprete
2.0	Bosnia y Herzegovina	Dino Merlin	«Love in rewind»	6			125.0	
3.0	Dinamarca	A Friend in London	«New tomorrow»	5			134.0	
4.0	Lituania	Evelina Sašenko	«C'est ma vie»	19			63.0	
5.0	Hungría	Kati Wolf	«What about my dreams?»	22			53.0	
6.0	Irlanda	Jedward	«Lipstick»	8			119.0	
7.0	Suecia	Eric Saade	«Popular»	3			185.0	
8.0	Estonia	Getter Jaani	«Rockefeller Street»	24			44.0	
9.0	Grecia	Loucas Yiorkas ft. Stereo Mike	«Watch my dance»	7			120.0	
10.0	Rusia	Alexey Vorobyov	«Get you»	16			77.0	
11.0	Francia	Amaury Vassili	«Sognu»	15			82.0	
12.0	Italia	Raphael Gualazzi	«Madness of love»	2			189.0	
13.0	Suiza	Anna Rossinelli	«In love for a while»	25			19.0	
14.0	Reino Unido	Blue	«I Can»	11			100.0	
15.0	Moldavia	Zdob şi Zdub	«So lucky»	12			97.0	
16.0	Alemania	Lena	«Taken by a stranger»	10			107.0	
17.0	Rumanía	Hotel FM	«Change»	17			77.0	
18.0	Austria	Nadine Beiler	«The secret is love»	18			64.0	
19.0	Azerbaiyán	Ell & Nikki	«Running Scared»	1			221.0	
20.0	Eslovenia	Maja Keuc	«No one»	13			96.0	
21.0	Islandia	Sigurjón's Friends	«Coming home»	20			61.0	
22.0	España	Lucía Pérez	«Que me quiten lo bailao»	23			50.0	
23.0	Ucrania	Mika Newton	«Angel»	4			159.0	
24.0	Serbia	Nina	«Čaroban»	14			85.0	
25.0	Georgia	Eldrine	«One more day»	9			110.0	
1.0	Reino Unido	Engelbert Humperdinck	«Love Will Set You Free»	25			12.0	
2.0	Hungría	Compact Disco	«Sound Of Our Hearts»	24			19.0	
3.0	Albania	Rona Nishliu	«Suus»	5			146.0	
4.0	Lituania	Donny Montell	«Love Is Blind»	14			70.0	
5.0	Bosnia y Herzegovina	Maya Sar	«Korake ti znam»	18			55.0	
6.0	Rusia	Buránovskiye Bábushki	«Party For Everybody»	2			259.0	
7.0	Islandia	Gréta Salóme & Jónsi	«Never Forget»	20			46.0	
8.0	Chipre	Ivi Adamou	«La La Love»	16			65.0	
9.0	Francia	Anggun	«Echo (You and I)»	22			21.0	
10.0	Italia	Nina Zilli	«L'amore è Femmina (Out Of Love)»	9			101.0	
11.0	Estonia	Ott Lepland	«Kuula»	6			120.0	
12.0	Noruega	Tooji	«Stay»	26			7.0	
13.0	Azerbaiyán	Sabina Babayeva	«When The Music Dies»	4			150.0	
14.0	Rumania	Mandinga	«Zaleilah»	12			71.0	
15.0	Dinamarca	Soluna Samay	«Should've Known Better»	23			21.0	
16.0	Grecia	Eleftheria Eleftheriou	«Aphrodisiac»	17			64.0	
17.0	Suecia	Loreen	«Euphoria»	1			372.0	
18.0	Turquía	Can Bonomo	«Love Me Back»	7			112.0	
19.0	España	Pastora Soler	«Quédate conmigo»	10			97.0	
20.0	Alemania	Roman Lob	«Standing Still»	8			110.0	
21.0	Malta	Kurt Calleja	«This Is The Night»	21			41.0	
22.0	Macedonia (ARY)	Kaliopi	«Crno i Belo»	13			71.0	
23.0	Irlanda	Jedward	«Waterline»	19			46.0	
24.0	Serbia	Željko Joksimović	«Nije Ljubav Stvar»	3			214.0	
25.0	Ucrania	Gaitana	«Be My Guest»	15			65.0	
26.0	Moldavia	Pasha Parfeny	«Lăutar»	11			81.0	
1.0	Francia	Amandine Bourgeois	«L'enfer et moi»	23			14.0	
2.0	Lituania	Andrius Pojavis	«Something»	22			17.0	
3.0	Moldavia	Aliona Moon	«O mie»	11			71.0	
4.0	Finlandia	Krista Siegfrids	«Marry me»	24			13.0	
5.0	España	El Sueño de Morfeo	«Contigo hasta el final»	25			8.0	
6.0	Bélgica	Roberto Bellarosa	«Love kills»	12			71.0	
